,id,track_name,size_bytes,currency,price,rating_count_tot,rating_count_ver,user_rating,user_rating_ver,ver,cont_rating,prime_genre,sup_devices.num,ipadSc_urls.num,lang.num,vpp_lic
8.0,284035177,Pandora - Music & Radio,130242560,USD,0,1126879.0,3594,4,4.5,8.4.1,12+,Music,37,4,1,1
202.0,324684580,Spotify Music,132510720,USD,0,878563.0,8253,4.5,4.5,8.4.3,12+,Music,37,5,18,1
20.0,284993459,"Shazam - Discover music, artists, videos & lyrics",147093504,USD,0,402925.0,136,4,4.5,11.0.3,12+,Music,37,3,16,1
40.0,290638154,iHeartRadio – Free Music & Radio Stations,116443136,USD,0,293228.0,110,4,3,8.0.0,12+,Music,37,5,2,1
93.0,302584613,"Kindle – Read eBooks, Magazines & Textbooks",169747456,USD,0,252076.0,80,3.5,4.5,5.11,4+,Book,37,5,9,1
270.0,336353151,SoundCloud - Music & Audio,105009152,USD,0,135744.0,594,4,4.5,5.6.0,4+,Music,37,4,7,1
816.0,421254504,Magic Piano by Smule,55030784,USD,0,131695.0,1102,4.5,4,8.3.1,4+,Music,37,5,12,1
1431.0,509993510,Smule Sing!,109940736,USD,0,119316.0,33,4.5,4,5.2.3,9+,Music,37,5,12,1
803.0,418987775,TuneIn Radio - MLB NBA Audiobooks Podcasts Music,101735424,USD,0,110420.0,370,4.5,4.5,11.9,12+,Music,37,4,14,1
1438.0,510855668,Amazon Music,77778944,USD,0,106235.0,4605,4.5,5,6.5.0,4+,Music,37,5,6,1
